42 ns: U U UUUU UUUU UUUU
84 ns: 1 0 1111 0000 0000
126 ns: 1 0 1111 0000 0000
168 ns: 1 0 1111 0000 0000
210 ns: 1 0 1111 0000 0000
252 ns: 1 0 1111 0000 0000
294 ns: 1 0 1111 0000 0000
336 ns: 1 0 1111 0000 0000
378 ns: 1 0 1111 0000 0000
420 ns: 1 0 1111 0000 0000
462 ns: 1 0 1111 0000 0000
504 ns: 1 0 1111 0000 0000
546 ns: 1 0 1111 0000 0000
588 ns: 1 0 1111 0000 0000
630 ns: 1 0 1111 0000 0000
672 ns: 1 0 1111 0000 0000
714 ns: 1 0 1111 0000 0000
756 ns: 1 0 1111 0000 0000
798 ns: 1 0 1111 0000 0000
840 ns: 1 0 1111 0000 0000
882 ns: 1 0 1111 0000 0000
924 ns: 1 0 1111 0000 0000
966 ns: 1 0 1111 0000 0000
1008 ns: 1 0 1111 0000 0000
1050 ns: 1 0 1111 0000 0000
1092 ns: 1 0 1111 0000 0000
1134 ns: 1 0 1111 0000 0000
1176 ns: 1 0 1111 0000 0000
1218 ns: 1 0 1111 0000 0000
1260 ns: 1 0 1111 0000 0000
1302 ns: 1 0 1111 0000 0000
1344 ns: 1 0 1111 0000 0000
1386 ns: 1 0 1111 0000 0000
1428 ns: 1 0 1111 0000 0000
1470 ns: 1 0 1111 0000 0000
1512 ns: 1 0 1111 0000 0000
1554 ns: 1 0 1111 0000 0000
1596 ns: 1 0 1111 0000 0000
1638 ns: 1 0 1111 0000 0000
1680 ns: 1 0 1111 0000 0000
1722 ns: 1 0 1111 0000 0000
1764 ns: 1 0 1111 0000 0000
1806 ns: 1 0 1111 0000 0000
1848 ns: 1 0 1111 0000 0000
1890 ns: 1 0 1111 0000 0000
1932 ns: 1 0 1111 0000 0000
1974 ns: 1 0 1111 0000 0000
2016 ns: 1 0 1111 0000 0000
2058 ns: 1 0 1111 0000 0000
2100 ns: 1 0 1111 0000 0000
2142 ns: 1 0 1111 0000 0000
2184 ns: 1 0 1111 0000 0000
2226 ns: 1 0 1111 0000 0000
2268 ns: 1 0 1111 0000 0000
2310 ns: 1 0 1111 0000 0000
2352 ns: 1 0 1111 0000 0000
2394 ns: 1 0 1111 0000 0000
2436 ns: 1 0 1111 0000 0000
2478 ns: 1 0 1111 0000 0000
2520 ns: 1 0 1111 0000 0000
2562 ns: 1 0 1111 0000 0000
2604 ns: 1 0 1111 0000 0000
2646 ns: 1 0 1111 0000 0000
2688 ns: 1 0 1111 0000 0000
2730 ns: 1 0 1111 0000 0000
2772 ns: 1 0 1111 0000 0000
2814 ns: 1 0 1111 0000 0000
2856 ns: 1 0 1111 0000 0000
2898 ns: 1 0 1111 0000 0000
2940 ns: 1 0 1111 0000 0000
2982 ns: 1 0 1111 0000 0000
3024 ns: 1 0 1111 0000 0000
3066 ns: 1 0 1111 0000 0000
3108 ns: 1 0 1111 0000 0000
3150 ns: 1 0 1111 0000 0000
3192 ns: 1 0 1111 0000 0000
3234 ns: 1 0 1111 0000 0000
3276 ns: 1 0 1111 0000 0000
3318 ns: 1 0 1111 0000 0000
3360 ns: 1 0 1111 0000 0000
3402 ns: 1 0 1111 0000 0000
3444 ns: 1 0 1111 0000 0000
3486 ns: 1 0 1111 0000 0000
3528 ns: 1 0 1111 0000 0000
3570 ns: 1 0 1111 0000 0000
3612 ns: 1 0 1111 0000 0000
3654 ns: 1 0 1111 0000 0000
3696 ns: 1 0 1111 0000 0000
3738 ns: 1 0 1111 0000 0000
3780 ns: 1 0 1111 0000 0000
3822 ns: 1 0 1111 0000 0000
3864 ns: 1 0 1111 0000 0000
3906 ns: 1 0 1111 0000 0000
3948 ns: 1 0 1111 0000 0000
3990 ns: 1 0 1111 0000 0000
4032 ns: 1 0 1111 0000 0000
4074 ns: 1 0 1111 0000 0000
4116 ns: 1 0 1111 0000 0000
4158 ns: 1 0 1111 0000 0000
4200 ns: 1 0 1111 0000 0000
4242 ns: 1 0 1111 0000 0000
4284 ns: 1 0 1111 0000 0000
4326 ns: 1 0 1111 0000 0000
4368 ns: 1 0 1111 0000 0000
4410 ns: 1 0 1111 0000 0000
4452 ns: 1 0 1111 0000 0000
4494 ns: 1 0 1111 0000 0000
4536 ns: 1 0 1111 0000 0000
4578 ns: 1 0 1111 0000 0000
4620 ns: 1 0 1111 0000 0000
4662 ns: 1 0 1111 0000 0000
4704 ns: 1 0 1111 0000 0000
4746 ns: 1 0 1111 0000 0000
4788 ns: 1 0 1111 0000 0000
4830 ns: 1 0 1111 0000 0000
4872 ns: 1 0 1111 0000 0000
4914 ns: 1 0 1111 0000 0000
4956 ns: 1 0 1111 0000 0000
4998 ns: 1 0 1111 0000 0000
5040 ns: 1 0 1111 0000 0000
5082 ns: 1 0 1111 0000 0000
5124 ns: 1 0 1111 0000 0000
5166 ns: 1 0 1111 0000 0000
5208 ns: 1 0 1111 0000 0000
5250 ns: 1 0 1111 0000 0000
5292 ns: 1 0 1111 0000 0000
5334 ns: 1 0 1111 0000 0000
5376 ns: 1 0 1111 0000 0000
5418 ns: 1 0 1111 0000 0000
5460 ns: 1 0 1111 0000 0000
5502 ns: 1 0 1111 0000 0000
5544 ns: 1 0 1111 0000 0000
5586 ns: 1 0 1111 0000 0000
5628 ns: 1 0 1111 0000 0000
5670 ns: 1 0 1111 0000 0000
5712 ns: 1 0 1111 0000 0000
5754 ns: 1 0 1111 0000 0000
5796 ns: 1 0 1111 0000 0000
5838 ns: 1 0 1111 0000 0000
5880 ns: 1 0 1111 0000 0000
5922 ns: 1 0 1111 0000 0000
5964 ns: 1 0 1111 0000 0000
6006 ns: 1 0 1111 0000 0000
6048 ns: 1 0 1111 0000 0000
6090 ns: 1 0 1111 0000 0000
6132 ns: 1 0 1111 0000 0000
6174 ns: 1 0 1111 0000 0000
6216 ns: 1 0 1111 0000 0000
6258 ns: 1 0 1111 0000 0000
6300 ns: 1 0 1111 0000 0000
6342 ns: 1 0 1111 0000 0000
6384 ns: 1 0 1111 0000 0000
6426 ns: 1 0 1111 0000 0000
6468 ns: 1 0 1111 0000 0000
6510 ns: 1 0 1111 0000 0000
6552 ns: 1 0 1111 0000 0000
6594 ns: 1 0 1111 0000 0000
6636 ns: 1 0 1111 0000 0000
6678 ns: 1 0 1111 0000 0000
6720 ns: 1 0 1111 0000 0000
6762 ns: 1 0 1111 0000 0000
